Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-943.2719	-1174.948	231.6756	1.203682	0.4944661	1.472634
6	-926.1419	-1157.608	231.466	1.244576	0.6032197	1.472634
12	-923.4194	-1155.445	232.0254	1.340337	0.5134745	1.039775
18	-916.6056	-1148.578	231.9724	1.456675	0.3885474	1.18456
24	-937.5593	-1169.528	231.9682	1.490272	0.2848534	1.346427
30	-917.0346	-1149.243	232.2082	1.514066	0.2396368	1.224479
36	-911.3819	-1142.185	230.8034	1.279262	0.4478666	2.084985
42	-912.329	-1143.325	230.9956	1.132986	0.4478666	2.054707
48	-914.8452	-1146.108	231.2626	1.266776	0.5195779	1.698306
54	-910.0674	-1141.862	231.7948	1.229426	0.3688353	1.536901
60	-906.5523	-1138.41	231.8579	1.555025	0.3400943	1.281854
66	-906.0943	-1137.935	231.8412	1.445838	0.3400943	1.382686
72	-911.9504	-1143.517	231.5668	1.239508	0.6791107	1.315818
78	-898.9024	-1130.659	231.7563	1.268831	0.5284005	1.315818
84	-899.5461	-1131.23	231.6839	1.510759	0.4632412	1.265916
90	-906.6434	-1138.399	231.7554	1.363885	0.4632412	1.327283
96	-910.1873	-1141.581	231.3941	1.196434	0.7402908	1.423642
102	-911.1636	-1143.148	231.984	1.344323	0.3935015	1.261601
108	-913.1249	-1144.884	231.759	1.282504	0.4114521	1.46125
114	-904.0012	-1135.585	231.5841	1.200127	0.5329662	1.49719
120	-911.035	-1142.201	231.1656	1.008461	0.6918381	1.772505
126	-902.2339	-1133.522	231.2877	1.196537	0.5084839	1.742803
132	-909.8198	-1141.354	231.5343	1.283348	0.3311514	1.742803
138	-912.5452	-1143.926	231.3812	1.222416	0.3940276	1.801633
144	-910.9454	-1142.507	231.5611	1.067981	0.5704237	1.569414
150	-908.9102	-1140.549	231.6389	1.137271	0.494007	1.550283
156	-908.9754	-1140.313	231.3373	1.206131	0.5629326	1.639839
162	-900.9018	-1132.257	231.3549	1.236468	0.532062	1.639839
168	-904.3	-1135.771	231.4709	1.187132	0.532062	1.591599
174	-911.4011	-1143.159	231.7583	1.389077	0.3265341	1.51196
180	-908.4339	-1139.991	231.5576	1.409825	0.4819813	1.421329
186	-909.9764	-1141.763	231.7871	1.350182	0.344755	1.489954
192	-909.4219	-1141.109	231.6873	1.340691	0.4800882	1.376688
198	-901.2406	-1132.747	231.5068	1.248248	0.4800882	1.582981
204	-912.9491	-1144.36	231.4111	1.072373	0.6383257	1.603961
210	-920.8182	-1152.399	231.5809	1.467482	0.4997555	1.334438
216	-903.8687	-1135.507	231.6387	1.239267	0.6104699	1.334438
222	-909.1254	-1140.947	231.8216	1.208951	0.3527903	1.55673
228	-896.3253	-1128.087	231.7616	1.199335	0.3745676	1.57503
234	-903.544	-1135.107	231.5633	1.117734	0.4136045	1.721345
240	-921.0191	-1152.296	231.2773	1.269837	0.6551519	1.540288
246	-923.6771	-1154.98	231.3027	1.269837	0.4554858	1.743958
252	-915.4282	-1146.306	230.8774	1.11647	0.4812166	2.105186
258	-910.0988	-1140.77	230.6711	0.885892	0.6938076	2.184198
264	-918.2348	-1150.224	231.9888	1.585482	0.4215166	0.9915418
270	-928.1338	-1160.163	232.0296	1.573254	0.4005891	1.002621
276	-930	-1162.117	232.1169	1.824378	0.35173	0.7097593
282	-924.2341	-1156.27	232.0364	1.65984	0.3970682	0.9118789
288	-924.9436	-1156.495	231.5509	1.598429	0.7558639	0.9118789
294	-926.0252	-1157.946	231.9208	1.293309	0.5498685	1.127034
300	-917.4124	-1149.059	231.6464	1.293309	0.5498685	1.357142
306	-910.4419	-1142.506	232.0642	1.164019	0.5552238	1.106778
312	-912.8146	-1144.096	231.2816	1.050672	0.7008805	1.652444
318	-907.0128	-1138.781	231.7682	1.288154	0.3447807	1.550205
324	-904.9578	-1135.75	230.7925	0.9588865	0.5395776	2.201087
330	-911.2918	-1142.129	230.8373	1.033977	0.4311395	2.242106
336	-915.5331	-1145.866	230.3333	1.098876	0.4752619	2.471231
342	-921.9071	-1153.069	231.1622	0.9562063	0.4752619	2.029747
348	-907.7349	-1138.296	230.5607	0.8093782	0.6358503	2.354288
354	-920.2535	-1151.144	230.8902	0.9047911	0.5119088	2.201467
360	-920.2101	-1150.408	230.1981	0.8375525	0.5808275	2.613302
366	-923.9075	-1154.104	230.1961	0.8395533	0.5808275	2.613302
372	-913.0931	-1143.984	230.8909	0.8848054	0.8396675	1.921898
378	-911.9955	-1143.394	231.3981	1.047094	0.8871024	1.403519
384	-908.8703	-1140.235	231.365	1.124228	0.8871024	1.36906
390	-904.581	-1136.204	231.6229	1.323106	0.5736229	1.323255
396	-921.2108	-1152.05	230.8392	1.002073	0.5849266	2.097487
402	-912.3658	-1143.512	231.1465	0.9359465	0.4281993	2.108534
408	-922.8276	-1154.001	231.1733	1.096133	0.4349103	1.976588
414	-908.592	-1139.823	231.2312	1.143599	0.5394211	1.784611
420	-917.7189	-1149.172	231.4531	1.195503	0.6529078	1.466565
426	-922.6664	-1154.337	231.6705	1.492906	0.5818095	1.129055
432	-919.7468	-1150.808	231.0614	1.058661	0.6273532	1.870132
438	-906.4782	-1137.067	230.5889	1.019111	0.7524417	2.102264
444	-922.1771	-1153.105	230.9274	1.102239	0.4741263	2.0896
450	-918.1725	-1149.555	231.383	1.188806	0.434742	1.770482
456	-928.9304	-1160.526	231.5953	1.324768	0.434742	1.520125
462	-925.1165	-1156.656	231.539	1.102169	0.4982152	1.64342
468	-918.5229	-1149.625	231.1021	1.190185	0.4982152	1.886989
474	-919.3682	-1150.157	230.7884	1.04007	0.5072714	2.18467
480	-910.0432	-1141.238	231.1944	1.129284	0.4768587	1.890061
